cluster,rank,term
0,1,dem
0,2,pl
0,3,ag
0,4,tout faire
0,5,ad
0,6,louer
0,7,ec
0,8,cuis
0,9,sach
0,10,rossel
0,11,ag rossel
0,12,dem pl
1,1,quo
1,2,uno
1,3,gouvernement
1,4,ligne
1,5,etaient
1,6,ot
1,7,question
1,8,faits
1,9,quelque
1,10,ministre
1,11,yeux
1,12,roi
2,1,louer
2,2,actions
2,3,ag
2,4,vendre
2,5,id
2,6,ad
2,7,ch
2,8,ec
2,9,av
2,10,dem
2,11,rossel
2,12,pr
3,1,notaire
3,2,contenant
3,3,notaires
3,4,ares
3,5,louee
3,6,centiares
3,7,encheres
3,8,etude
3,9,rentier
3,10,portee
3,11,paumer
3,12,maison rentier
